name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
Sardar Patel Road,0,22688331,0,1,1,980.14,2,80,1800,primary,3,"LINESTRING (80.2286092 13.0091943, 80.2290373 13.0090938, 80.2302027 13.0088616, 80.2311110 13.0086807, 80.2327932 13.0083611, 80.2334763 13.0082459, 80.2348091 13.0079679, 80.2350883 13.0079133, 80.2351425 13.0079027, 80.2374709 13.0074523)",auto,0,0,,
Velachery Bypass Road,1,22688386,2,3,1,467.56,2,50,1800,primary,3,"LINESTRING (80.2195955 12.9914634, 80.2192702 12.9905377, 80.2191108 12.9900326, 80.2189376 12.9895098, 80.2187500 12.9890198, 80.2186028 12.9885780, 80.2185376 12.9882962, 80.2183539 12.9874212)",auto,0,0,,
Gandhi Mandapam Road,2,22922908,4,5,1,308.23,2,60,1600,secondary,4,"LINESTRING (80.2405383 13.0096865, 80.2405394 13.0096378, 80.2404892 13.0080398, 80.2403241 13.0069116)",auto,0,0,,
Taramani Road,4,22926955,151,8,1,203.46,2,35,1200,tertiary,5,"LINESTRING (80.2517504 12.9862881, 80.2515745 12.9862277, 80.2513032 12.9861915, 80.2505239 12.9861924, 80.2498873 12.9861932)",auto,0,0,,
Taramani Road,5,22926955,8,9,1,714.05,2,35,1200,tertiary,5,"LINESTRING (80.2498873 12.9861932, 80.2494916 12.9861937, 80.2486521 12.9861946, 80.2473271 12.9861962, 80.2468177 12.9861968, 80.2467363 12.9861969, 80.2452672 12.9862171, 80.2451048 12.9862133, 80.2438456 12.9862113, 80.2433032 12.9862105)",auto,0,0,,
,6,22926966,10,11,1,9.71,2,40,1200,tertiary,5,"LINESTRING (80.2434122 12.9812792, 80.2434112 12.9813670)",auto,1,0,,
,7,22926966,11,10,1,9.71,2,40,1200,tertiary,5,"LINESTRING (80.2434112 12.9813670, 80.2434122 12.9812792)",auto,1,0,,
,8,22926966,11,9,1,535.75,2,40,1200,tertiary,5,"LINESTRING (80.2434112 12.9813670, 80.2433382 12.9843707, 80.2433032 12.9862105)",auto,1,0,,
,9,22926966,9,11,1,535.75,2,40,1200,tertiary,5,"LINESTRING (80.2433032 12.9862105, 80.2433382 12.9843707, 80.2434112 12.9813670)",auto,1,0,,
RajaLaxmi Nagar 3rd main Road,10,23079581,12,13,1,220.96,1,40,1200,tertiary,5,"LINESTRING (80.2185792 12.9843056, 80.2190934 12.9843659, 80.2191936 12.9843770, 80.2199417 12.9844373, 80.2204029 12.9844187, 80.2206056 12.9843799)",auto,1,0,,
RajaLaxmi Nagar 3rd main Road,11,23079581,13,12,1,220.96,1,40,1200,tertiary,5,"LINESTRING (80.2206056 12.9843799, 80.2204029 12.9844187, 80.2199417 12.9844373, 80.2191936 12.9843770, 80.2190934 12.9843659, 80.2185792 12.9843056)",auto,1,0,,
